기간별 매매기준율,,,,,,
기간 : 2024년 01월 01일 ~ 2026년 03월 31일,,,,,,
,,,,,,
평균환율,,,,,,
평균환율,최저치,기록일,최고치,기록일,등락폭,Cross Rate
2024.02.27,대만 달러 (TWD),42.17,0.13,31.575,,
2024.02.28,대만 달러 (TWD),42.13,-0.04,31.601,,
2024.02.29,대만 달러 (TWD),42.13,0,31.662,,
2024.03.04,대만 달러 (TWD),42.22,0.09,31.597,,
2024.03.05,대만 달러 (TWD),42.18,-0.04,31.531,,
2024.03.06,대만 달러 (TWD),42.14,-0.04,31.6375,,
2024.03.07,대만 달러 (TWD),42.42,0.28,31.491,,
2024.03.08,대만 달러 (TWD),42.31,-0.11,31.423,,
2024.03.11,대만 달러 (TWD),42.1,-0.21,31.425,,
2024.03.12,대만 달러 (TWD),41.89,-0.21,31.381,,
2024.03.13,대만 달러 (TWD),41.69,-0.2,31.452,,
2024.03.14,대만 달러 (TWD),41.75,0.06,31.441,,
2024.03.15,대만 달러 (TWD),41.72,-0.03,31.563,,
2024.03.18,대만 달러 (TWD),42.01,0.29,31.619,,
2024.03.19,대만 달러 (TWD),42.09,0.08,31.669,,
2024.03.20,대만 달러 (TWD),42.14,0.05,31.766,,
2024.03.21,대만 달러 (TWD),42.1,-0.04,31.7955,,
2024.03.22,대만 달러 (TWD),41.59,-0.51,31.89,,
2024.03.25,대만 달러 (TWD),41.82,0.23,31.952,,
2024.03.26,대만 달러 (TWD),42.14,0.32,31.814,,
2024.03.27,대만 달러 (TWD),41.97,-0.17,31.893,,
2024.03.28,대만 달러 (TWD),42.07,0.1,31.993,,
2024.03.29,대만 달러 (TWD),42.13,0.06,31.966,,
2024.04.01,대만 달러 (TWD),42.17,0.04,31.949,,
2024.04.02,대만 달러 (TWD),42.06,-0.11,32.03,,
2024.04.03,대만 달러 (TWD),42.22,0.16,32.047,,
2024.04.04,대만 달러 (TWD),42.18,-0.04,31.982,,
2024.04.05,대만 달러 (TWD),42.01,-0.17,32.059,,
2024.04.08,대만 달러 (TWD),42.08,0.07,32.126,,
2024.04.09,대만 달러 (TWD),42.16,0.08,32.104,,
2024.04.11,대만 달러 (TWD),41.99,-0.17,32.2545,,
2024.04.12,대만 달러 (TWD),42.32,0.33,32.226,,
2024.04.15,대만 달러 (TWD),42.51,0.19,32.269,,
2024.04.16,대만 달러 (TWD),42.66,0.15,32.438,,
2024.04.17,대만 달러 (TWD),42.89,0.23,32.531,,
2024.04.18,대만 달러 (TWD),42.85,-0.04,32.354,,
2024.04.19,대만 달러 (TWD),42.38,-0.47,32.469,,
2024.04.22,대만 달러 (TWD),42.59,0.21,32.519,,
2024.04.23,대만 달러 (TWD),42.36,-0.23,32.592,,
2024.04.24,대만 달러 (TWD),42.37,0.01,32.519,,
2024.04.25,대만 달러 (TWD),41.98,-0.39,32.634,,
2024.04.26,대만 달러 (TWD),42.31,0.33,32.538,,
2024.04.29,대만 달러 (TWD),42.24,-0.07,32.574,,
2024.04.30,대만 달러 (TWD),42.44,0.2,32.487,,
2024.05.02,대만 달러 (TWD),42.35,-0.09,32.538,,
2024.05.03,대만 달러 (TWD),42.64,0.29,32.332,,
2024.05.07,대만 달러 (TWD),42.26,-0.38,32.305,,
2024.05.08,대만 달러 (TWD),41.93,-0.33,32.38,,
2024.05.09,대만 달러 (TWD),42.18,0.25,32.3475,,
2024.05.10,대만 달러 (TWD),42.27,0.09,32.359,,
2024.05.13,대만 달러 (TWD),42.17,-0.1,32.435,,
2024.05.14,대만 달러 (TWD),42.29,0.12,32.399,,
2024.05.16,대만 달러 (TWD),42.71,0.42,32.055,,
2024.05.17,대만 달러 (TWD),41.93,-0.78,32.1855,,
2024.05.20,대만 달러 (TWD),42.11,0.18,32.179,,
2024.05.21,대만 달러 (TWD),42.08,-0.03,32.228,,
2024.05.22,대만 달러 (TWD),42.3,0.22,32.257,,
2024.05.23,대만 달러 (TWD),42.23,-0.07,32.277,,
2024.05.24,대만 달러 (TWD),42.32,0.09,32.241,,
2024.05.27,대만 달러 (TWD),42.54,0.22,32.204,,
2024.05.28,대만 달러 (TWD),42.46,-0.08,32.154,,
2024.05.29,대만 달러 (TWD),42.23,-0.23,32.19,,
2024.05.30,대만 달러 (TWD),42.14,-0.09,32.389,,
2024.05.31,대만 달러 (TWD),42.52,0.38,32.3765,,
2024.06.03,대만 달러 (TWD),42.54,0.02,32.48,,
2024.06.04,대만 달러 (TWD),42.63,0.09,32.318,,
2024.06.05,대만 달러 (TWD),42.45,-0.18,32.343,,
2024.06.07,대만 달러 (TWD),42.46,0.01,32.3025,,
2024.06.10,대만 달러 (TWD),42.16,-0.3,32.42,,
2024.06.11,대만 달러 (TWD),42.48,0.32,32.433,,
2024.06.12,대만 달러 (TWD),42.58,0.1,32.347,,
2024.06.13,대만 달러 (TWD),42.73,0.15,32.2435,,
2024.06.14,대만 달러 (TWD),42.4,-0.33,32.338,,
2024.06.17,대만 달러 (TWD),42.57,0.17,32.364,,
2024.06.18,대만 달러 (TWD),42.7,0.13,32.33,,
2024.06.19,대만 달러 (TWD),42.63,-0.07,32.383,,
2024.06.20,대만 달러 (TWD),42.64,0.01,32.386,,
2024.06.21,대만 달러 (TWD),42.77,0.13,32.351,,
2024.06.24,대만 달러 (TWD),42.9,0.13,32.378,,
2024.06.25,대만 달러 (TWD),42.94,0.04,32.363,,
2024.06.26,대만 달러 (TWD),42.72,-0.22,32.451,,
2024.06.27,대만 달러 (TWD),42.65,-0.07,32.59,,
2024.06.28,대만 달러 (TWD),42.71,0.06,32.528,,
2024.07.01,대만 달러 (TWD),42.51,-0.2,32.519,,
2024.07.02,대만 달러 (TWD),42.44,-0.07,32.536,,
2024.07.03,대만 달러 (TWD),42.57,0.13,32.592,,
2024.07.04,대만 달러 (TWD),42.58,0.01,32.627,,
2024.07.05,대만 달러 (TWD),42.48,-0.1,32.527,,
2024.07.08,대만 달러 (TWD),42.55,0.07,32.408,,
2024.07.09,대만 달러 (TWD),42.5,-0.05,32.457,,
2024.07.10,대만 달러 (TWD),42.52,0.02,32.536,,
2024.07.11,대만 달러 (TWD),42.53,0.01,32.583,,
2024.07.12,대만 달러 (TWD),42.55,0.02,32.4365,,
2024.07.15,대만 달러 (TWD),42.32,-0.23,32.523,,
2024.07.16,대만 달러 (TWD),42.41,0.09,32.585,,
2024.07.17,대만 달러 (TWD),42.56,0.15,32.564,,
2024.07.18,대만 달러 (TWD),42.46,-0.1,32.533,,
2024.07.19,대만 달러 (TWD),42.26,-0.2,32.653,,
2024.07.22,대만 달러 (TWD),42.28,0.02,32.796,,
2024.07.23,대만 달러 (TWD),42.3,0.02,32.824,,
2024.07.24,대만 달러 (TWD),42.25,-0.05,32.785,,
2024.07.25,대만 달러 (TWD),42.32,0.07,32.731,,
2024.07.26,대만 달러 (TWD),42.33,0.01,32.729,,
2024.07.29,대만 달러 (TWD),42.22,-0.11,32.813,,
2024.07.30,대만 달러 (TWD),42.1,-0.12,32.826,,
2024.07.31,대만 달러 (TWD),42.19,0.09,32.816,,
2024.08.01,대만 달러 (TWD),42.23,0.04,32.68,,
2024.08.02,대만 달러 (TWD),41.67,-0.56,32.782,,
2024.08.05,대만 달러 (TWD),42.12,0.45,32.593,,
2024.08.06,대만 달러 (TWD),41.62,-0.5,32.689,,
2024.08.07,대만 달러 (TWD),41.84,0.22,32.793,,
2024.08.08,대만 달러 (TWD),42.17,0.33,32.641,,
2024.08.09,대만 달러 (TWD),42.48,0.31,32.43,,
2024.08.12,대만 달러 (TWD),42.2,-0.28,32.45,,
2024.08.13,대만 달러 (TWD),42.16,-0.04,32.443,,
2024.08.14,대만 달러 (TWD),42.4,0.24,32.32,,
2024.08.16,대만 달러 (TWD),41.95,-0.45,32.455,,
2024.08.19,대만 달러 (TWD),42.3,0.35,32.1505,,
2024.08.20,대만 달러 (TWD),41.9,-0.4,31.925,,
2024.08.21,대만 달러 (TWD),41.75,-0.15,31.908,,
2024.08.22,대만 달러 (TWD),41.71,-0.04,31.941,,
2024.08.23,대만 달러 (TWD),41.68,-0.03,32.048,,
2024.08.26,대만 달러 (TWD),42.18,0.5,31.7695,,
2024.08.27,대만 달러 (TWD),41.6,-0.58,31.823,,
2024.08.28,대만 달러 (TWD),41.66,0.06,31.935,,
2024.08.29,대만 달러 (TWD),41.71,0.05,31.998,,
2024.08.30,대만 달러 (TWD),41.88,0.17,31.881,,
2024.09.02,대만 달러 (TWD),41.7,-0.18,32.011,,
2024.09.03,대만 달러 (TWD),41.74,0.04,32.077,,
2024.09.04,대만 달러 (TWD),41.78,0.04,32.1,,
2024.09.05,대만 달러 (TWD),41.82,0.04,32.089,,
2024.09.06,대만 달러 (TWD),41.72,-0.1,32.022,,
2024.09.09,대만 달러 (TWD),41.52,-0.2,32.041,,
2024.09.10,대만 달러 (TWD),41.7,0.18,32.123,,
2024.09.11,대만 달러 (TWD),41.78,0.08,32.173,,
2024.09.12,대만 달러 (TWD),41.73,-0.05,32.122,,
2024.09.13,대만 달러 (TWD),41.72,-0.01,32.11,,
2024.09.19,대만 달러 (TWD),41.62,-0.1,31.983,,
2024.09.20,대만 달러 (TWD),41.72,0.1,31.925,,
2024.09.23,대만 달러 (TWD),41.55,-0.17,32.004,,
2024.09.24,대만 달러 (TWD),41.71,0.16,32.017,,
2024.09.25,대만 달러 (TWD),41.94,0.23,31.8165,,
2024.09.26,대만 달러 (TWD),41.5,-0.44,32.0095,,
2024.09.27,대만 달러 (TWD),41.92,0.42,31.721,,
2024.09.30,대만 달러 (TWD),41.77,-0.15,31.59,,
2024.10.02,대만 달러 (TWD),40.94,-0.83,31.923,,
2024.10.04,대만 달러 (TWD),41.15,0.21,32.079,,
2024.10.07,대만 달러 (TWD),41.27,0.12,32.309,,
2024.10.08,대만 달러 (TWD),41.9,0.63,32.137,,
2024.10.10,대만 달러 (TWD),41.8,-0.1,32.243,,
2024.10.11,대만 달러 (TWD),41.89,0.09,32.216,,
2024.10.14,대만 달러 (TWD),41.95,0.06,32.145,,
2024.10.15,대만 달러 (TWD),42.1,0.15,32.183,,
2024.10.16,대만 달러 (TWD),42.24,0.14,32.207,,
2024.10.17,대만 달러 (TWD),42.42,0.18,32.146,,
2024.10.18,대만 달러 (TWD),42.59,0.17,32.083,,
2024.10.21,대만 달러 (TWD),42.77,0.18,32.057,,
2024.10.22,대만 달러 (TWD),42.67,-0.1,32.113,,
2024.10.23,대만 달러 (TWD),43.03,0.36,32.0695,,
2024.10.24,대만 달러 (TWD),43.17,0.14,32.013,,
2024.10.25,대만 달러 (TWD),43.14,-0.03,31.999,,
2024.10.28,대만 달러 (TWD),43.1,-0.04,32.1225,,
2024.10.29,대만 달러 (TWD),43.31,0.21,32.027,,
2024.10.30,대만 달러 (TWD),43.04,-0.27,32.134,,
2024.10.31,대만 달러 (TWD),43.38,0.34,31.891,,
2024.11.01,대만 달러 (TWD),43.24,-0.14,31.899,,
2024.11.04,대만 달러 (TWD),43.15,-0.09,31.931,,
2024.11.05,대만 달러 (TWD),42.95,-0.2,31.927,,
2024.11.06,대만 달러 (TWD),43.16,0.21,31.9225,,
2024.11.07,대만 달러 (TWD),43.06,-0.1,32.315,,
2024.11.08,대만 달러 (TWD),43.65,0.59,32.051,,
2024.11.11,대만 달러 (TWD),42.96,-0.69,32.25,,
2024.11.12,대만 달러 (TWD),43.07,0.11,32.395,,
2024.11.13,대만 달러 (TWD),43.18,0.11,32.451,,
2024.11.14,대만 달러 (TWD),43.35,0.17,32.46,,
2024.11.15,대만 달러 (TWD),43.21,-0.14,32.55,,
2024.11.18,대만 달러 (TWD),43.18,-0.03,32.489,,
2024.11.19,대만 달러 (TWD),42.9,-0.28,32.462,,
2024.11.20,대만 달러 (TWD),43.04,0.14,32.343,,
2024.11.21,대만 달러 (TWD),42.78,-0.26,32.53,,
2024.11.22,대만 달러 (TWD),42.99,0.21,32.523,,
2024.11.25,대만 달러 (TWD),42.99,0,32.576,,
2024.11.26,대만 달러 (TWD),43.2,0.21,32.364,,
2024.11.27,대만 달러 (TWD),43.21,0.01,32.43,,
2024.11.28,대만 달러 (TWD),43,-0.21,32.483,,
2024.11.29,대만 달러 (TWD),42.89,-0.11,32.516,,
2024.12.02,대만 달러 (TWD),42.88,-0.01,32.535,,
2024.12.03,대만 달러 (TWD),43,0.12,32.606,,
2024.12.04,대만 달러 (TWD),43.17,0.17,32.506,,
2024.12.05,대만 달러 (TWD),43.57,0.4,32.4275,,
2024.12.06,대만 달러 (TWD),43.69,0.12,32.385,,
2024.12.09,대만 달러 (TWD),43.82,0.13,32.388,,
2024.12.10,대만 달러 (TWD),44.25,0.43,32.387,,
2024.12.11,대만 달러 (TWD),43.94,-0.31,32.498,,
2024.12.12,대만 달러 (TWD),44.04,0.1,32.502,,
2024.12.13,대만 달러 (TWD),44,-0.04,32.533,,
2024.12.16,대만 달러 (TWD),44.06,0.06,32.518,,
2024.12.17,대만 달러 (TWD),44.23,0.17,32.445,,
2024.12.18,대만 달러 (TWD),44.17,-0.06,32.526,,
2024.12.19,대만 달러 (TWD),43.88,-0.29,32.7425,,
2024.12.20,대만 달러 (TWD),44.4,0.52,32.653,,
2024.12.23,대만 달러 (TWD),44.47,0.07,32.612,,
2024.12.24,대만 달러 (TWD),44.36,-0.11,32.671,,
2024.12.26,대만 달러 (TWD),44.48,0.12,32.683,,
2024.12.27,대만 달러 (TWD),44.67,0.19,32.746,,
2024.12.30,대만 달러 (TWD),44.91,0.24,32.824,,
2024.12.31,대만 달러 (TWD),44.81,-0.1,32.805,,
2025.01.02,대만 달러 (TWD),44.79,-0.02,32.8175,,
2025.01.03,대만 달러 (TWD),44.63,-0.16,32.896,,
2025.01.06,대만 달러 (TWD),44.52,-0.11,32.945,,
2025.01.07,대만 달러 (TWD),44.91,0.39,32.751,,
2025.01.08,대만 달러 (TWD),44.45,-0.46,32.741,,
2025.01.09,대만 달러 (TWD),44.14,-0.31,32.92,,
2025.01.10,대만 달러 (TWD),44.33,0.19,32.893,,
2025.01.13,대만 달러 (TWD),44.1,-0.23,33.1195,,
2025.01.14,대만 달러 (TWD),44.44,0.34,33.1095,,
2025.01.15,대만 달러 (TWD),44.39,-0.05,32.968,,
2025.01.16,대만 달러 (TWD),44.35,-0.04,32.924,,
2025.01.17,대만 달러 (TWD),44.15,-0.2,32.947,,
2025.01.20,대만 달러 (TWD),44.24,0.09,32.906,,
2025.01.21,대만 달러 (TWD),44.48,0.24,32.6655,,
2025.01.22,대만 달러 (TWD),43.98,-0.5,32.698,,
2025.01.23,대만 달러 (TWD),43.95,-0.03,32.633,,
2025.01.24,대만 달러 (TWD),43.99,0.04,32.671,,
2025.01.31,대만 달러 (TWD),43.49,-0.5,32.9535,,
2025.02.03,대만 달러 (TWD),44.01,0.52,33.013,,
2025.02.04,대만 달러 (TWD),44.52,0.51,33.002,,
2025.02.05,대만 달러 (TWD),44.4,-0.12,32.901,,
2025.02.06,대만 달러 (TWD),44.16,-0.24,32.837,,
2025.02.07,대만 달러 (TWD),44.1,-0.06,32.811,,
2025.02.10,대만 달러 (TWD),44.1,0,32.8225,,
2025.02.11,대만 달러 (TWD),44.2,0.1,32.881,,
2025.02.12,대만 달러 (TWD),44.28,0.08,32.826,,
2025.02.13,대만 달러 (TWD),44.19,-0.09,32.8735,,
2025.02.14,대만 달러 (TWD),44.45,0.26,32.633,,
2025.02.17,대만 달러 (TWD),44.16,-0.29,32.681,,
2025.02.18,대만 달러 (TWD),44.04,-0.12,32.719,,
2025.02.19,대만 달러 (TWD),44.1,0.06,32.738,,
2025.02.20,대만 달러 (TWD),43.96,-0.14,32.772,,
2025.02.21,대만 달러 (TWD),44.01,0.05,32.706,,
2025.02.24,대만 달러 (TWD),43.78,-0.23,32.76,,
2025.02.25,대만 달러 (TWD),43.68,-0.1,32.718,,
2025.02.26,대만 달러 (TWD),43.6,-0.08,32.813,,
2025.02.27,대만 달러 (TWD),43.69,0.09,32.774,,
2025.02.28,대만 달러 (TWD),43.74,0.05,32.9145,,
2025.03.04,대만 달러 (TWD),44.33,0.59,32.908,,
2025.03.05,대만 달러 (TWD),44.49,0.16,32.81,,
2025.03.06,대만 달러 (TWD),44.35,-0.14,32.828,,
2025.03.07,대만 달러 (TWD),43.84,-0.51,32.885,,
2025.03.10,대만 달러 (TWD),44.04,0.2,32.842,,
2025.03.11,대만 달러 (TWD),44.14,0.1,32.882,,
2025.03.12,대만 달러 (TWD),44.34,0.2,32.883,,
2025.03.13,대만 달러 (TWD),44.11,-0.23,32.918,,
2025.03.14,대만 달러 (TWD),44.02,-0.09,32.981,,
2025.03.17,대만 달러 (TWD),44.16,0.14,32.941,,
2025.03.18,대만 달러 (TWD),43.93,-0.23,32.963,,
2025.03.19,대만 달러 (TWD),43.85,-0.08,32.998,,
2025.03.20,대만 달러 (TWD),43.98,0.13,33.021,,
2025.03.21,대만 달러 (TWD),44.22,0.24,32.998,,
2025.03.24,대만 달러 (TWD),44.45,0.23,33.004,,
2025.03.25,대만 달러 (TWD),44.41,-0.04,33.028,,
2025.03.26,대만 달러 (TWD),44.45,0.04,33.061,,
2025.03.27,대만 달러 (TWD),44.26,-0.19,33.108,,
2025.03.28,대만 달러 (TWD),44.28,0.02,33.125,,
2025.03.31,대만 달러 (TWD),44.17,-0.11,33.201,,
2025.04.01,대만 달러 (TWD),44.22,0.05,33.255,,
2025.04.02,대만 달러 (TWD),44.31,0.09,33.217,,
2025.04.03,대만 달러 (TWD),44.14,-0.17,33.2555,,
2025.04.04,대만 달러 (TWD),44.39,0.25,33.048,,
2025.04.07,대만 달러 (TWD),43.4,-0.99,33.167,,
2025.04.08,대만 달러 (TWD),44.43,1.03,32.995,,
2025.04.09,대만 달러 (TWD),44.37,-0.06,33.136,,
2025.04.10,대만 달러 (TWD),45.48,1.11,32.603,,
2025.04.11,대만 달러 (TWD),44.47,-1.01,32.801,,
2025.04.14,대만 달러 (TWD),44.81,0.34,32.377,,
2025.04.15,대만 달러 (TWD),44.09,-0.72,32.372,,
2025.04.16,대만 달러 (TWD),43.77,-0.32,32.519,,
2025.04.17,대만 달러 (TWD),44.08,0.31,32.3815,,
2025.04.18,대만 달러 (TWD),43.66,-0.42,32.524,,
2025.04.21,대만 달러 (TWD),43.64,-0.02,32.571,,
2025.04.22,대만 달러 (TWD),43.72,0.08,32.454,,
2025.04.23,대만 달러 (TWD),43.65,-0.07,32.5885,,
2025.04.24,대만 달러 (TWD),43.83,0.18,32.545,,
2025.04.25,대만 달러 (TWD),44.08,0.25,32.447,,
2025.04.28,대만 달러 (TWD),44.1,0.02,32.534,,
2025.04.29,대만 달러 (TWD),44.37,0.27,32.437,,
2025.04.30,대만 달러 (TWD),44.48,0.11,32.337,,
2025.05.02,대만 달러 (TWD),44.42,-0.06,32.123,,
2025.05.07,대만 달러 (TWD),47.56,3.14,29.9945,,
2025.05.08,대만 달러 (TWD),45.85,-1.71,30.406,,
2025.05.09,대만 달러 (TWD),46.1,0.25,30.284,,
2025.05.12,대만 달러 (TWD),46.55,0.45,30.195,,
2025.05.13,대만 달러 (TWD),46.05,-0.5,30.408,,
2025.05.14,대만 달러 (TWD),46.44,0.39,30.444,,
2025.05.15,대만 달러 (TWD),46.64,0.2,30.355,,
2025.05.16,대만 달러 (TWD),46.37,-0.27,30.182,,
2025.05.19,대만 달러 (TWD),46.14,-0.23,30.218,,
2025.05.20,대만 달러 (TWD),46.35,0.21,30.161,,
2025.05.21,대만 달러 (TWD),46.18,-0.17,30.157,,
2025.05.22,대만 달러 (TWD),46.18,0,30.037,,
2025.05.23,대만 달러 (TWD),45.85,-0.33,30.062,,
2025.05.26,대만 달러 (TWD),45.92,0.07,29.9865,,
2025.05.27,대만 달러 (TWD),45.61,-0.31,29.93,,
2025.05.28,대만 달러 (TWD),45.64,0.03,29.978,,
2025.05.29,대만 달러 (TWD),45.96,0.32,29.91,,
2025.05.30,대만 달러 (TWD),46.3,0.34,29.835,,
2025.06.02,대만 달러 (TWD),46.03,-0.27,29.886,,
2025.06.04,대만 달러 (TWD),45.92,-0.11,29.987,,
2025.06.05,대만 달러 (TWD),45.86,-0.06,29.957,,
2025.06.09,대만 달러 (TWD),45.4,-0.46,29.933,,
2025.06.10,대만 달러 (TWD),45.4,0,29.929,,
2025.06.11,대만 달러 (TWD),45.47,0.07,29.91,,
2025.06.12,대만 달러 (TWD),45.9,0.43,29.82,,
2025.06.13,대만 달러 (TWD),46.13,0.23,29.542,,
2025.06.16,대만 달러 (TWD),46.25,0.12,29.551,,
2025.06.17,대만 달러 (TWD),46.35,0.1,29.42,,
2025.06.18,대만 달러 (TWD),45.91,-0.44,29.662,,
2025.06.19,대만 달러 (TWD),46.46,0.55,29.558,,
2025.06.20,대만 달러 (TWD),46.63,0.17,29.585,,
2025.06.23,대만 달러 (TWD),46.34,-0.29,29.548,,
2025.06.24,대만 달러 (TWD),46.53,0.19,29.698,,
2025.06.25,대만 달러 (TWD),46.31,-0.22,29.473,,
2025.06.26,대만 달러 (TWD),46.34,0.03,29.367,,
2025.06.27,대만 달러 (TWD),46.52,0.18,29.183,,
2025.06.30,대만 달러 (TWD),46.6,0.08,29.11,,
2025.07.01,대만 달러 (TWD),46.33,-0.27,29.219,,
2025.07.02,대만 달러 (TWD),46.26,-0.07,29.242,,
2025.07.03,대만 달러 (TWD),46.9,0.64,28.983,,
2025.07.04,대만 달러 (TWD),46.94,0.04,28.932,,
2025.07.07,대만 달러 (TWD),47.18,0.24,28.916,,
2025.07.08,대만 달러 (TWD),46.99,-0.19,29.081,,
2025.07.09,대만 달러 (TWD),46.97,-0.02,29.122,,
2025.07.10,대만 달러 (TWD),47.01,0.04,29.221,,
2025.07.11,대만 달러 (TWD),46.93,-0.08,29.258,,
2025.07.14,대만 달러 (TWD),47.03,0.1,29.228,,
2025.07.15,대만 달러 (TWD),46.97,-0.06,29.3495,,
2025.07.16,대만 달러 (TWD),47.03,0.06,29.403,,
2025.07.17,대만 달러 (TWD),47.17,0.14,29.4095,,
2025.07.18,대만 달러 (TWD),47.27,0.1,29.422,,
2025.07.21,대만 달러 (TWD),47.35,0.08,29.393,,
2025.07.22,대만 달러 (TWD),47.39,0.04,29.355,,
2025.07.23,대만 달러 (TWD),47.13,-0.26,29.414,,
2025.07.24,대만 달러 (TWD),47.15,0.02,29.25,,
2025.07.25,대만 달러 (TWD),46.54,-0.61,29.406,,
2025.07.28,대만 달러 (TWD),46.66,0.12,29.487,,
2025.07.29,대만 달러 (TWD),46.5,-0.16,29.671,,
2025.07.30,대만 달러 (TWD),46.83,0.33,29.709,,
2025.07.31,대만 달러 (TWD),46.34,-0.49,29.843,,
2025.08.01,대만 달러 (TWD),46.48,0.14,29.915,,
2025.08.04,대만 달러 (TWD),46.91,0.43,29.83,,
2025.08.05,대만 달러 (TWD),46.32,-0.59,29.899,,
2025.08.06,대만 달러 (TWD),46.3,-0.02,29.9525,,
2025.08.07,대만 달러 (TWD),46.45,0.15,29.917,,
2025.08.08,대만 달러 (TWD),46.43,-0.02,29.815,,
2025.08.11,대만 달러 (TWD),46.41,-0.02,29.866,,
2025.08.12,대만 달러 (TWD),46.33,-0.08,29.963,,
2025.08.13,대만 달러 (TWD),46.5,0.17,29.895,,
2025.08.14,대만 달러 (TWD),46.19,-0.31,29.956,,
2025.08.18,대만 달러 (TWD),46.07,-0.12,30.004,,
2025.08.19,대만 달러 (TWD),46.13,0.06,30.033,,
2025.08.20,대만 달러 (TWD),46.12,-0.01,30.124,,
2025.08.21,대만 달러 (TWD),46.13,0.01,30.295,,
2025.08.22,대만 달러 (TWD),45.79,-0.34,30.531,,
2025.08.25,대만 달러 (TWD),45.94,0.15,30.382,,
2025.08.26,대만 달러 (TWD),45.51,-0.43,30.464,,
2025.08.27,대만 달러 (TWD),45.52,0.01,30.562,,
2025.08.28,대만 달러 (TWD),45.63,0.11,30.589,,
2025.08.29,대만 달러 (TWD),45.52,-0.11,30.506,,
2025.09.01,대만 달러 (TWD),45.39,-0.13,30.5755,,
2025.09.02,대만 달러 (TWD),45.46,0.07,30.632,,
2025.09.03,대만 달러 (TWD),45.26,-0.2,30.76,,
2025.09.04,대만 달러 (TWD),45.35,0.09,30.737,,
2025.09.05,대만 달러 (TWD),45.35,0,30.713,,
2025.09.08,대만 달러 (TWD),45.64,0.29,30.494,,
2025.09.09,대만 달러 (TWD),45.81,0.17,30.35,,
2025.09.10,대만 달러 (TWD),45.66,-0.15,30.367,,
2025.09.11,대만 달러 (TWD),45.87,0.21,30.2475,,
2025.09.12,대만 달러 (TWD),45.85,-0.02,30.305,,
2025.09.15,대만 달러 (TWD),45.83,-0.02,30.3,,
2025.09.16,대만 달러 (TWD),46,0.17,30.209,,
2025.09.17,대만 달러 (TWD),45.98,-0.02,30.063,,
2025.09.18,대만 달러 (TWD),45.85,-0.13,30.1005,,
2025.09.19,대만 달러 (TWD),45.97,0.12,30.121,,
